Ignore,Key,Message
Y,メッセージ,
,msg1,Drôles d'ennemis.
,msg2,"On aurait dit des humains,<br>mais ils avaient quelque chose de différent..."
,msg3,C'est le reflet de leur cœur. Le désespoir qu'il renferme les a submergés<br>d'émotions négatives. Encore une conséquence de la malédiction.
,msg4,(Je n'ai rien fait de mal et pourtant...<br>Le simple fait d'être une sorcière... Pourquoi...)
,msg5,Cette voix...
,msg6,Le pouvoir des sorcières vient de leur cœur. Ceux que la malédiction...<br>que le pouvoir de Qlipha touche sont ainsi touchés par ces cœurs.
,msg7,La sorcière de Qlipha ne doit plus être très loin.<br>Le pouvoir du bâton nous a peut-être montré quelque chose.
,name1,Iris
,name2,Illya
,name3,Rosalie
,name4,???
