Ignore,Key,Message
Y,メッセージ,
,msg1,어떻게든 클리파의 마녀는 제압했는데...<br>이렇게 어린아이였을 줄은....
,msg2,원래는 평범하고 상냥한 아이였겠지.<br>허나 누군가에게 여린 마음을 이용당해 폭주해 버린 게야.
,msg3,세상에... 누가 그런 짓을....
,msg4,"...정확한 건 알 수 없다. 어찌 됐든, 지팡이의 힘으로 <br>원래대로 돌아온 듯하니 곧 있으면 눈을 뜨겠지."
,msg5,다른 나라에도 이 아이처럼 폭주한 클리파의 마녀가 있는 걸까요?
,msg6,그렇겠지. 세계에 존재하는 10명의 클리파의 마녀들은 <br>아마도 모두 누군가의 영향으로 폭주했을 게다. <br>그게 전 세계에 퍼진 10개의 저주가 된 것이고.
,msg7,...! 몸이...!
,msg8,"그대, 왜 그러느냐?!"
,msg9,(온몸이 찢어지듯 아파...<br> 설마 저주가 사라진 게 아니라... 내....)
,msg10,...괜찮아. 아무것도 아니야.<br>조금 힘들어서 그래.
,msg11,그보다 앞으로도 조종당하는 클리파의 마녀를 도와주면  <br>세계는 구원받는 거지? <br>그럼 빨리 가자! 우리에겐 멈춰 있을 시간이 없어.
,name1,아이리스
,name2,일리아
,name3,로잘리
