Ignore,Key,Message
Y,メッセージ,
,msg1,"Setelah melalui <br>banyak percobaan, <br>senjata itu akhirnya selesai."
,msg2-1,"Dengan menuangkan <br>setiap ons kekuatan <br>sihirku ke dalamnya, "
,msg2-2,aku akhirnya membuat <br>senjata yang bisa menembus <br>perisai para penyihir itu—<br>sebuah pedang sihir.
,msg3,Pedang itu <br>memiliki kekuatan <br>yang sanggup menghabisi <br>100 tentara dalam <br>sekali ayun.
,msg4-1,Itu adalah simbol <br>sejati dari kekuatan. 
,msg4-2,"Kekuatannya akan <br>menghancurkan semangat <br>siapa pun yang melihatnya, "
,msg4-3,dan perang akan <br>berakhir dalam sekejap.
,msg5-1,"Dulu, aku merasa sangat <br>bangga dengan tangan ini. "
,msg5-2,Tangan yang membuat <br>sebuah senjata yang akan <br>melindungi semua orang ini.
,msg6-1,"Saat skuadron penyihir <br>akhirnya datang dan <br>menyerang kami, <br>para tentara <br>menggunakan pedangku. "
,msg6-2,Kemudian...tragedi terjadi.
,msg7-1,Satu ayunan <br>menghancurkan <br>skuadron penyihir. 
,msg7-2,"Medan perang dipenuhi <br>oleh apa yang tersisa <br>dari para penyihir itu...<br>dan di antara mereka, <br>seorang gadis kecil..."
,msg8-1,Apa... Apa yang telah aku...? 
,msg8-2,Ini bukan senjata yang aku buat. <br>Ini hanya alat untuk membunuh.
,msg9-1,"Pada saat itu, <br>aku akhirnya menyadari...<br>apa arti sebenarnya dari <br>mengakhiri perang, "
,msg9-2,dan apa yang aku <br>lakukan untuk mencapainya.
,msg10,"...Aku melihat tanganku, <br>dan yang aku <br>lihat hanyalah kotoran."
