Ignoe,Key,Message
Y,メッセージ,
,msg1-1,我跟克爾柏洛絲開始一起製作糖果。
,msg1-2,熬煮糖漿比較危險，<br>所以由我負責……
,msg2-1,鍋子裡的砂糖漸漸融化，<br>開始傳出噗滋噗滋的美妙聲音。
,msg2-2,其中還夾雜著<br>咕嚕咕嚕的冒泡聲……
,msg2-3,嗯，好像差不多可以了？
,msg3,「再來只要注入魔女之力<br>　就完成囉！」
,msg4,「欸？魔女之力……」
,msg5,「嗯，<br>　克爾柏洛絲也跟姊姊一起……」
,msg6,我轉頭一看，<br>發現克爾柏洛絲緊緊捏著雙手，<br>臉上充滿了恐懼。
,msg7-1,我怎麼忘了，<br>她之前一直以為我被她害死了……
,msg7-2,但那並不是她的錯，<br>而是我……
,msg8,「不怕不怕，克爾柏洛絲。」
,msg9,我握住她不停發抖的小手。<br>這次跟當時不一樣了。<br>畢竟我也變堅強了呀。
,msg10,我不會再讓克爾柏洛絲掉眼淚了。<br>我希望她能常保笑容。<br>所以……
,msg11-1,就在那一刻，<br>我們交疊的手中亮起了小小的光芒。
,msg11-2,這是……新的魔女之力？
