Ignore,Key,Message
Y,メッセージ,
,msg1,"Cách đây một thời gian,<br>tôi đã mạo hiểm đến<br>một vùng xa xôi."
,msg2-1,Đó là một thảm<br>cảnh khủng khiếp. 
,msg2-2,Chiến tranh chẳng<br>mang lại gì cho vùng<br>đất này ngoài những<br>đau thương. 
,msg2-3,"Quê hương tôi cũng vậy, "
,msg2-4,khi thiếu nguồn cung<br>cấp đã khiến chúng tôi<br>không thể tự vệ...
,msg3-1,"Nhưng,<br>có điều gì đó khác biệt ở đây. "
,msg3-2,"Ngay khi tôi nghĩ nơi này<br>đã bị xóa sổ hoàn toàn, "
,msg3-3,tôi tìm thấy những<br>người sống sót—
,msg3-4,mỗi người đều có trong<br>tay những vũ khí đặc biệt.
,msg4-1,Những vũ khí đó được<br>nâng cấp bằng ma thuật—
,msg4-2,được chế tạo chuyên<br>dùng để bảo vệ người sử<br>dụng hơn là giết kẻ thù. 
,msg4-3,Chính nhờ những<br>vũ khí đó mà ngôi<br>làng được cứu.
,msg5,Đó là lần đầu<br>tiên tôi nhìn thấy<br>những vũ khí như vậy.
,msg6-1,Cuối cùng tôi<br>nhận ra rằng mình 
,msg6-2,"muốn gặp người<br>đã tạo ra chúng, "
,msg6-3,và bắt đầu cuộc<br>tìm kiếm của mình.
,msg7,Dù sao thì tôi cũng<br>được những đứa<br>trẻ trong làng nhờ vả.
,msg8-1,Đón chờ tôi ở cuối<br>cuộc tìm kiếm là<br>một người thợ rèn. 
,msg8-2,"Nhưng, đôi mắt cô<br>ấy đầy bóng tối,<br>và trái tim cô ấy<br>đã đóng chặt."
