Ignore,Key,Message
Y,メッセージ,
,msg1,总算成功阻止逆卡巴拉魔女了，可是……<br>没想到是年纪这么小的孩子……
,msg2,原本应该只是个普通的好孩子吧。<br>却在内心脆弱时遭人趁虚而入，失去了理智。
,msg3,太过分了……究竟是谁忍心做出这种事……
,msg4,……确切的情况，老婆子我也不清楚。<br>无论如何，神杖的力量似乎让她恢复正常了。估计她很快就会清醒过来。
,msg5,其他国家也会出现与她有相同遭遇的逆卡巴拉魔女吗？ 
,msg6,是呀，世界上共有十名逆卡巴拉魔女。<br>恐怕她们都已受人摆布而走向失控，才会致使十大诅咒在世界各处蔓延开来。
,msg7,……唔！我的身体……
,msg8,小姑娘，你怎么了？！
,msg9,（全身都好痛……<br>　难道说，诅咒并没有消失……而是……）
,msg10,……不要紧，我没事。<br>只是觉得有点累而已。
,msg11,更重要的是，只要我们解救那些被操控的逆卡巴拉魔女，<br>这个世界就能得救了吧？那我们必须立刻行动，没时间站在这里发呆了。
,name1,艾莉丝
,name2,伊利亚
,name3,罗莎莉
