Ignore,Key,Message
Y,メッセージ,
,msg1,"Bằng cách nào đó, chúng ta đã ngăn được Phù Thủy Qlipha...<br>nhưng em không ngờ cô ấy lại trẻ như vậy..."
,msg2,"Có lẽ lúc đầu, cô ấy vốn chỉ là một cô gái bình thường, hiền lành.<br>Nhưng, dường như ai đó đã lợi dụng sự yếu đuối trong trái tim <br>để làm cô ấy mất kiểm soát."
,msg3,Sao có thể... Ai lại làm một việc như vậy chứ...?
,msg4,...Ta không dám chắc.<br>Nhưng có vẻ sức mạnh của Quyền Trượng đã hồi phục cho cô ấy.<br>Cô ấy sẽ tỉnh lại sớm thôi.
,msg5,"Ở những đất nước khác, còn Phù thủy Qlipha nào―<br>cũng bị mất kiểm soát sức mạnh của mình như Natasha không?"
,msg6,"Có đấy. Có 10 Phù thủy Qlipha trên thế giới.<br>Ta e rằng kẻ nào đó đang khiến cho tất cả mất kiểm soát,<br>từ đó gây ra 10 Lời Nguyền đang lan rộng khắp thế giới."
,msg7,...! Cơ thể em...!!
,msg8,"Này, có chuyện gì thế?!"
,msg9,(Toàn thân mình đau đớn...<br>Lẽ nào Lời Nguyền chưa được hóa giải... mà...)
,msg10,...Em vẫn ổn. Không sao đâu.<br>Em chỉ hơi mệt thôi.
,msg11,"Quan trọng hơn, nếu chúng ta giải thoát các Phù Thủy Qlipha<br>khỏi kẻ đang kiểm soát họ, thì thế giới sẽ được cứu, phải không?<br>Vậy—chúng ta phải nhanh đi thôi. Không còn thời giờ để phí phạm nữa."
,name1,Iris
,name2,Ilya
,name3,Rosalie
