Ignore,Key,Message
Y,メッセージ,
,msg1,總算成功阻止逆卡巴拉魔女了，可是……<br>沒想到居然是這麼小的孩子……
,msg2,原本應該只是個普通的好孩子吧。<br>卻在內心脆弱時遭有心人趁虛而入，失去了理智。
,msg3,太過分了……究竟是誰忍心做出這種事……
,msg4,……確切的情況，老婆子我也不清楚。<br>無論如何，神杖的力量似乎讓她恢復正常了。估計她很快就會清醒過來。
,msg5,其他國家也有像她一樣，<br>在有心人士的操弄下失去理智的逆卡巴拉魔女嗎？
,msg6,是呀，世界上共有十名逆卡巴拉魔女。她們目前全都失控了。<br>恐怕是誰在暗地裡動了手腳，導致十大詛咒降臨世界。
,msg7,……唔！我的身體……
,msg8,小姑娘，妳怎麼了！？
,msg9,（全身都好痛……<br>　難道說，詛咒並沒有消失……而是……）
,msg10,……不要緊，我沒事。<br>只是覺得有點累而已。
,msg11,更重要的是，只要我們解救那些被操控的逆卡巴拉魔女，<br>這個世界就能得救了吧？那我們必須立刻行動，沒時間站在這裡發呆了。
,name1,艾莉絲
,name2,伊利亞
,name3,羅莎莉
