Ignore,Key,Message,,,,
Y,メッセージ,,,,,
,msg1-1,"Một ngày nọ,<br>tôi nghe được một câu<br>chuyện trong thị trấn<br>về việc quân đội ",,,,
,msg1-2,của đất nước chúng tôi<br>đã bị tiêu diệt bởi quân<br>đoàn phù thủy của kẻ thù.,,,,
,msg2-1,"Các phù thủy đã dựng<br>lên những tấm khiên làm<br>chệch hướng mọi thứ, ",,,,
,msg2-2,ngăn chặn không cho<br>bất kỳ đòn tấn công<br>nào của chúng tôi lọt qua.,,,,
,msg3-1,"Vũ khí của tôi dù<br>đã được tăng cường<br>sức mạnh ma thuật, ",,,,
,msg3-2,nhưng rõ ràng chúng<br>vô dụng trước những<br>chiếc khiên kia.,,,,
,msg4,"Quân đoàn phù thủy<br>đó đang nhanh chóng<br>xâm chiếm lãnh thổ,<br>và chẳng bao lâu nữa,<br>họ sẽ đến thị trấn này...",,,,
,msg5-1,Tôi phải làm gì đó. ,,,,
,msg5-2,"Tôi là một phù thủy<br>và cũng là một thợ rèn,<br>phải có điều gì đó mà chỉ<br>tôi mới có thể làm được.",,,,
,msg6-1,Đúng rồi—<br>Tôi sẽ thử gia tăng sức<br>mạnh ma thuật cường hóa<br>trong vũ khí của mình. ,,,,
,msg6-2,Chỉ tăng cường sức mạnh<br>độ bền của vũ khí như mọi<br>khi không còn đủ để phá<br>vỡ những chiếc khiên đó.,,,,
,msg7-1,Tôi phải tăng lớn hơn<br>nữa sức mạnh ma thuật. ,,,,
,msg7-2,"Việc này có lẽ sẽ mất<br>nhiều thời gian,<br>nhưng tôi sẽ hoàn thành nó.",,,,
,msg8-1,"Kể từ đó,<br>tôi kiên trì tập trung đưa sức<br>mạnh ma thuật vào vũ khí. ",,,,
,msg8-2,Để chiến đấu chống lại<br>quân đoàn phù thủy.<br>Để bảo vệ càng nhiều cư<br>dân của thị trấn càng tốt.,,,,
,msg9,"...Và, để tạo ra sức mạnh<br>đủ để có thể tiêu diệt kẻ thù.",,,,
,,,,,,
